"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",50418.4391320296,0,50418.4391320296
"grass_planting_cost","grass_planting_cost",50403.9684673678,0,50403.9684673678
"initial_fences_cost","initial_fences_cost",50317.1743695009,0,50317.1743695009
"maintaining_fences_cost","maintaining_fences_cost",50237.299991289,0,50237.299991289
"soil_analysis","soil_analysis",50350.4984047907,0,50350.4984047907
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",50356.2157652848,0,50356.2157652848
"amount_bales_1","amount_bales_1",50325.4638801273,0,50325.4638801273
"income_bale_1","income_bale_1",50324.6641751059,0,50324.6641751059
"replacing_trees_cost","replacing_trees_cost",50362.1534988001,0,50362.1534988001
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",50387.0112161058,0,50387.0112161058
"nut_price","nut_price",50352.4950963588,0,50352.4950963588
"harvest_nets_1","harvest_nets_1",50382.9151797179,0,50382.9151797179
"harvest_nets_2","harvest_nets_2",50433.6281799495,0,50433.6281799495
"tree_planting_hours_1","tree_planting_hours_1",50373.7994482334,0,50373.7994482334
"tree_planting_hours_2","tree_planting_hours_2",50396.4014174471,0,50396.4014174471
"tree_planting_costs_1","tree_planting_costs_1",50321.8806148975,0,50321.8806148975
"tree_planting_costs_2","tree_planting_costs_2",50340.2126599304,0,50340.2126599304
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",50399.830190296,0,50399.830190296
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",50347.2021495047,0,50347.2021495047
"maintaining_trees_h_1","maintaining_trees_h_1",50362.5607694335,0,50362.5607694335
"maintaining_trees_h_2","maintaining_trees_h_2",50329.9495539022,0,50329.9495539022
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",50301.9855847765,0,50301.9855847765
"mulch_h_2","mulch_h_2",50386.179591031,0,50386.179591031
"other_nut_h_1","other_nut_h_1",50172.3807302885,0,50172.3807302885
"other_nut_h_2","other_nut_h_2",50332.9303433462,0,50332.9303433462
"nut_harvest_hours_1","nut_harvest_hours_1",50337.4510433315,0,50337.4510433315
"nut_harvest_hours_2","nut_harvest_hours_2",50312.1106571281,0,50312.1106571281
"nut_yield_1","nut_yield_1",50322.2616092161,0,50322.2616092161
"nut_yield_2","nut_yield_2",50355.4024259833,0,50355.4024259833
"nut_var_costs_1","nut_var_costs_1",50277.0956772505,0,50277.0956772505
"nut_var_costs_2","nut_var_costs_2",50329.3723829469,0,50329.3723829469
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",50357.4469642215,0,50357.4469642215
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",50357.1066477963,0,50357.1066477963
"installation_irrigation_1","installation_irrigation_1",50341.0936972276,0,50341.0936972276
"installation_irrigation_2","installation_irrigation_2",50334.5159235375,0,50334.5159235375
"work_per_irrigation","work_per_irrigation",50403.504960498,0,50403.504960498
"maintaining_irrigation_1","maintaining_irrigation_1",50389.5314951557,0,50389.5314951557
"maintaining_irrigation_2","maintaining_irrigation_2",50340.0330249622,0,50340.0330249622
"water_per_day_1","water_per_day_1",50344.6664245407,0,50344.6664245407
"water_per_day_2","water_per_day_2",50410.1629125795,0,50410.1629125795
"tree_planting_hours_3","tree_planting_hours_3",50398.415774099,0,50398.415774099
"tree_planting_costs_3","tree_planting_costs_3",50413.5687664718,0,50413.5687664718
"maintaining_trees_h_3","maintaining_trees_h_3",50318.7297968108,0,50318.7297968108
"mulch_h_3","mulch_h_3",50340.3035220751,0,50340.3035220751
"tree_var_costs","tree_var_costs",50338.8203835057,0,50338.8203835057
"truffle_yield","truffle_yield",50180.0275263158,0,50180.0275263158
"truffle_price","truffle_price",50307.6333972067,0,50307.6333972067
"truffle_harvest_costs","truffle_harvest_costs",50335.5777037655,0,50335.5777037655
"truffle_water_per_day","truffle_water_per_day",50431.6036880487,0,50431.6036880487
"truffle_days_to_irrigate","truffle_days_to_irrigate",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",50366.1501019156,0,50366.1501019156
"initial_chicken_mobile_cost_1","initial_chicken_mobile_cost_1",50357.1196962601,0,50357.1196962601
"maintaining_chicken_mobile_1","maintaining_chicken_mobile_1",50323.7262818034,0,50323.7262818034
"feed_cost","feed_cost",50363.3154265707,0,50363.3154265707
"working_hours_chicken_1","working_hours_chicken_1",50330.8687706968,0,50330.8687706968
"egg_per_hen","egg_per_hen",50334.5533018219,0,50334.5533018219
"feed_per_hen","feed_per_hen",50337.1285999045,0,50337.1285999045
"initial_chicken_mobile_cost_2","initial_chicken_mobile_cost_2",50343.8452580663,0,50343.8452580663
