"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",27579.1025605274,0,27579.1025605274
"grass_planting_cost","grass_planting_cost",27494.6113372336,0,27494.6113372336
"initial_fences_cost","initial_fences_cost",27440.5672863539,0,27440.5672863539
"maintaining_fences_cost","maintaining_fences_cost",27529.6682674508,0,27529.6682674508
"replacing_trees_cost","replacing_trees_cost",27594.2874974297,0,27594.2874974297
"nut_price","nut_price",27394.8523430444,0.971968015085886,27395.8243110595
"harvest_nets_1","harvest_nets_1",27542.0786147373,0,27542.0786147373
"harvest_nets_2","harvest_nets_2",27652.8193163717,0,27652.8193163717
"soil_analysis","soil_analysis",27417.2112139049,0,27417.2112139049
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",27593.3523095401,0,27593.3523095401
"amount_bales_1","amount_bales_1",27373.6183638947,0,27373.6183638947
"income_bale_1","income_bale_1",27394.5713986463,0,27394.5713986463
"tree_planting_hours_1","tree_planting_hours_1",27404.9039081861,0,27404.9039081861
"tree_planting_hours_2","tree_planting_hours_2",27461.9939330275,0,27461.9939330275
"tree_planting_costs_1","tree_planting_costs_1",27560.7493616554,0,27560.7493616554
"tree_planting_costs_2","tree_planting_costs_2",27707.2989320217,0,27707.2989320217
"maintaining_trees_h_1","maintaining_trees_h_1",27331.9060612211,0,27331.9060612211
"maintaining_trees_h_2","maintaining_trees_h_2",27591.9865713487,0,27591.9865713487
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",27477.1466315706,0,27477.1466315706
"mulch_h_2","mulch_h_2",27561.9464792256,0,27561.9464792256
"other_nut_h_1","other_nut_h_1",27538.2887185003,0,27538.2887185003
"other_nut_h_2","other_nut_h_2",27551.651164831,0,27551.651164831
"nut_harvest_hours_1","nut_harvest_hours_1",27461.3753289432,0,27461.3753289432
"nut_harvest_hours_2","nut_harvest_hours_2",27457.6514638374,0,27457.6514638374
"nut_yield_1","nut_yield_1",27419.6303891089,0,27419.6303891089
"nut_yield_2","nut_yield_2",27389.8403220806,36.6747576472039,27426.5150797279
"nut_var_costs_1","nut_var_costs_1",27605.4849720311,0,27605.4849720311
"nut_var_costs_2","nut_var_costs_2",27578.810379077,0,27578.810379077
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",27526.8030921091,0,27526.8030921091
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",27392.0434884081,0,27392.0434884081
"installation_irrigation_1","installation_irrigation_1",27662.1986711754,0,27662.1986711754
"installation_irrigation_2","installation_irrigation_2",27586.4679402199,0,27586.4679402199
"work_per_irrigation","work_per_irrigation",27452.0607441697,0,27452.0607441697
"maintaining_irrigation_1","maintaining_irrigation_1",27537.5194489351,0,27537.5194489351
"maintaining_irrigation_2","maintaining_irrigation_2",27460.4289897849,0,27460.4289897849
"water_per_day_1","water_per_day_1",27659.2751513948,0,27659.2751513948
"water_per_day_2","water_per_day_2",27396.4650289742,0,27396.4650289742
"tree_planting_hours_3","tree_planting_hours_3",27617.1772263156,0,27617.1772263156
"tree_planting_costs_3","tree_planting_costs_3",27473.091947068,0,27473.091947068
"maintaining_trees_h_3","maintaining_trees_h_3",27498.3464764376,0,27498.3464764376
"mulch_h_3","mulch_h_3",27519.1679564336,0,27519.1679564336
"tree_var_costs","tree_var_costs",27516.1516425669,0,27516.1516425669
"truffle_yield","truffle_yield",27192.3772063501,0,27192.3772063501
"truffle_price","truffle_price",27450.1852985808,0,27450.1852985808
"truffle_harvest_costs","truffle_harvest_costs",27537.9296408471,0,27537.9296408471
"number_of_chicken","number_of_chicken",27566.6170070948,0,27566.6170070948
"chicken_replacement_cost","chicken_replacement_cost",27667.8902444273,0,27667.8902444273
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",27536.4391235878,0,27536.4391235878
"maintaining_chicken_mobile","maintaining_chicken_mobile",27446.7177948036,0,27446.7177948036
"chicken_feed","chicken_feed",27496.940924656,0,27496.940924656
"feed_cost","feed_cost",27491.4079919126,0,27491.4079919126
"working_hours_chicken","working_hours_chicken",27459.1829028122,0,27459.1829028122
"eggs","eggs",27812.2301204869,0,27812.2301204869
"eggs_price","eggs_price",27295.7543299323,0,27295.7543299323
