"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",4214.17455267481,0,4214.17455267481
"grass_planting_cost","grass_planting_cost",4190.66626947698,0,4190.66626947698
"initial_fences_cost","initial_fences_cost",4116.41717634076,0,4116.41717634076
"maintaining_fences_cost","maintaining_fences_cost",4176.9949873274,0,4176.9949873274
"replacing_trees_cost","replacing_trees_cost",4177.69555276316,0,4177.69555276316
"nut_price","nut_price",4124.30002724118,33.9138620097576,4158.21388925094
"harvest_nets_1","harvest_nets_1",4186.55100761851,0,4186.55100761851
"harvest_nets_2","harvest_nets_2",4163.55084382644,0,4163.55084382644
"soil_analysis","soil_analysis",4159.6045071335,0,4159.6045071335
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",4170.72646027814,0,4170.72646027814
"amount_bales_1","amount_bales_1",4203.79943067551,0,4203.79943067551
"income_bale_1","income_bale_1",4146.66489700903,0,4146.66489700903
"tree_planting_hours_1","tree_planting_hours_1",4145.36039021777,0,4145.36039021777
"tree_planting_hours_2","tree_planting_hours_2",4184.73850230451,0,4184.73850230451
"tree_planting_costs_1","tree_planting_costs_1",4147.87456300842,0,4147.87456300842
"tree_planting_costs_2","tree_planting_costs_2",4185.03122296834,0,4185.03122296834
"maintaining_trees_h_1","maintaining_trees_h_1",4143.270766362,0,4143.270766362
"maintaining_trees_h_2","maintaining_trees_h_2",4163.30828419719,0,4163.30828419719
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",4116.657929115,0,4116.657929115
"mulch_h_2","mulch_h_2",4219.89815099723,0,4219.89815099723
"other_nut_h_1","other_nut_h_1",4217.6895422555,0,4217.6895422555
"other_nut_h_2","other_nut_h_2",4165.18797903824,0,4165.18797903824
"nut_harvest_hours_1","nut_harvest_hours_1",4136.27068528222,0,4136.27068528222
"nut_harvest_hours_2","nut_harvest_hours_2",4156.25714487164,0,4156.25714487164
"nut_yield_1","nut_yield_1",4159.98451371491,182.778215766726,4342.76272948164
"nut_yield_2","nut_yield_2",4150.10535735696,0,4150.10535735696
"nut_var_costs_1","nut_var_costs_1",4178.90028105968,0,4178.90028105968
"nut_var_costs_2","nut_var_costs_2",4180.57596850487,0,4180.57596850487
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",4194.49676888284,0,4194.49676888284
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",4148.022117046,0,4148.022117046
"installation_irrigation_1","installation_irrigation_1",4160.89281872703,0,4160.89281872703
"installation_irrigation_2","installation_irrigation_2",4153.17844538682,0,4153.17844538682
"work_per_irrigation","work_per_irrigation",4155.49812685085,0,4155.49812685085
"maintaining_irrigation_1","maintaining_irrigation_1",4119.05870395518,0,4119.05870395518
"maintaining_irrigation_2","maintaining_irrigation_2",4113.91977835922,0,4113.91977835922
"water_per_day_1","water_per_day_1",4166.39734727912,0,4166.39734727912
"water_per_day_2","water_per_day_2",4175.55813144083,0,4175.55813144083
"tree_planting_hours_3","tree_planting_hours_3",4196.25495225946,0,4196.25495225946
"tree_planting_costs_3","tree_planting_costs_3",4163.09092936171,0,4163.09092936171
"maintaining_trees_h_3","maintaining_trees_h_3",4157.05428028615,0,4157.05428028615
"mulch_h_3","mulch_h_3",4145.31000807903,0,4145.31000807903
"tree_var_costs","tree_var_costs",4136.88725955282,0,4136.88725955282
"truffle_yield","truffle_yield",4129.03425053938,0,4129.03425053938
"truffle_price","truffle_price",4131.51192405778,0,4131.51192405778
"truffle_harvest_costs","truffle_harvest_costs",4189.96975771911,0,4189.96975771911
"number_of_chicken","number_of_chicken",4163.4287184296,0,4163.4287184296
"chicken_replacement_cost","chicken_replacement_cost",4162.45301602125,0,4162.45301602125
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",4176.41635960429,0,4176.41635960429
"maintaining_chicken_mobile","maintaining_chicken_mobile",4122.76779836797,0,4122.76779836797
"chicken_feed","chicken_feed",4180.67129217398,0,4180.67129217398
"feed_cost","feed_cost",4205.78628598585,0,4205.78628598585
"working_hours_chicken","working_hours_chicken",4141.86390203633,0,4141.86390203633
"eggs","eggs",4178.92618095655,0,4178.92618095655
"eggs_price","eggs_price",4136.5239570591,0,4136.5239570591
