"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",43165.851256691,0,43165.851256691
"grass_planting_cost","grass_planting_cost",43138.0701722237,0,43138.0701722237
"initial_fences_cost","initial_fences_cost",43122.768651919,0,43122.768651919
"maintaining_fences_cost","maintaining_fences_cost",43133.7161294562,0,43133.7161294562
"soil_analysis","soil_analysis",43202.5223859231,0,43202.5223859231
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",43083.0478307927,0,43083.0478307927
"amount_bales_1","amount_bales_1",43202.9807121422,0,43202.9807121422
"income_bale_1","income_bale_1",43161.9393039144,0,43161.9393039144
"replacing_trees_cost","replacing_trees_cost",43123.8953484354,0,43123.8953484354
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",43169.2120791628,0,43169.2120791628
"nut_price","nut_price",43107.5652295554,0,43107.5652295554
"harvest_nets_1","harvest_nets_1",43139.3929736047,0,43139.3929736047
"harvest_nets_2","harvest_nets_2",43136.6432788941,0,43136.6432788941
"tree_planting_hours_1","tree_planting_hours_1",43176.49400041,0,43176.49400041
"tree_planting_hours_2","tree_planting_hours_2",43126.7506232757,0,43126.7506232757
"tree_planting_costs_1","tree_planting_costs_1",43192.2404922975,0,43192.2404922975
"tree_planting_costs_2","tree_planting_costs_2",43178.2031838775,0,43178.2031838775
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",43147.5168668241,0,43147.5168668241
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",43146.0563554365,0,43146.0563554365
"maintaining_trees_h_1","maintaining_trees_h_1",43160.2101592025,0,43160.2101592025
"maintaining_trees_h_2","maintaining_trees_h_2",43212.6854541346,0,43212.6854541346
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",43111.6262622412,0,43111.6262622412
"mulch_h_2","mulch_h_2",43197.777348628,0,43197.777348628
"other_nut_h_1","other_nut_h_1",42969.5739124665,0,42969.5739124665
"other_nut_h_2","other_nut_h_2",43140.1010847078,0,43140.1010847078
"nut_harvest_hours_1","nut_harvest_hours_1",43095.1206086359,0,43095.1206086359
"nut_harvest_hours_2","nut_harvest_hours_2",43042.3158385739,0,43042.3158385739
"nut_yield_1","nut_yield_1",43194.3826177737,0,43194.3826177737
"nut_yield_2","nut_yield_2",43103.4914374251,0,43103.4914374251
"nut_var_costs_1","nut_var_costs_1",43164.5092720104,0,43164.5092720104
"nut_var_costs_2","nut_var_costs_2",43161.8033553603,0,43161.8033553603
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",43140.7265315859,0,43140.7265315859
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",43108.7681525818,0,43108.7681525818
"installation_irrigation_1","installation_irrigation_1",43220.131822254,0,43220.131822254
"installation_irrigation_2","installation_irrigation_2",43198.2682322794,0,43198.2682322794
"work_per_irrigation","work_per_irrigation",43182.9992731444,0,43182.9992731444
"maintaining_irrigation_1","maintaining_irrigation_1",43179.5304187998,0,43179.5304187998
"maintaining_irrigation_2","maintaining_irrigation_2",43134.4968393876,0,43134.4968393876
"water_per_day_1","water_per_day_1",43175.4248112241,0,43175.4248112241
"water_per_day_2","water_per_day_2",43169.8509966378,0,43169.8509966378
"tree_planting_hours_3","tree_planting_hours_3",43147.0339309511,0,43147.0339309511
"tree_planting_costs_3","tree_planting_costs_3",43219.3757823039,0,43219.3757823039
"maintaining_trees_h_3","maintaining_trees_h_3",43086.4695234597,0,43086.4695234597
"mulch_h_3","mulch_h_3",43118.5043123711,0,43118.5043123711
"tree_var_costs","tree_var_costs",43159.6573134963,0,43159.6573134963
"truffle_yield","truffle_yield",43081.0384654518,0,43081.0384654518
"truffle_price","truffle_price",43152.8313853213,0,43152.8313853213
"truffle_harvest_costs","truffle_harvest_costs",43183.7443905499,0,43183.7443905499
"number_of_chicken","number_of_chicken",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",43172.6592600628,0,43172.6592600628
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",43113.9871131432,0,43113.9871131432
"maintaining_chicken_mobile","maintaining_chicken_mobile",43141.3319785492,0,43141.3319785492
"chicken_feed","chicken_feed",43124.2759162399,0,43124.2759162399
"feed_cost","feed_cost",43174.48819848,0,43174.48819848
"working_hours_chicken","working_hours_chicken",43192.8345244536,0,43192.8345244536
"eggs","eggs",43165.904600965,0,43165.904600965
"eggs_price","eggs_price",43199.9002570538,0,43199.9002570538
"crop_yield","crop_yield",43135.0057029309,0,43135.0057029309
"crop_price","crop_price",43152.659611562,0,43152.659611562
"working_hours_crop","working_hours_crop",43204.0171019634,0,43204.0171019634
