"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",51695.9437047044,0,51695.9437047044
"grass_planting_cost","grass_planting_cost",51725.5597742503,0,51725.5597742503
"initial_fences_cost","initial_fences_cost",51633.6705169433,0,51633.6705169433
"maintaining_fences_cost","maintaining_fences_cost",51524.5926062552,0,51524.5926062552
"soil_analysis","soil_analysis",51664.3800218125,0,51664.3800218125
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",51632.9838502961,0,51632.9838502961
"amount_bales_1","amount_bales_1",51571.0918762169,0,51571.0918762169
"income_bale_1","income_bale_1",51651.3387987779,0,51651.3387987779
"replacing_trees_cost","replacing_trees_cost",51594.8881065052,0,51594.8881065052
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",51649.4660812196,0,51649.4660812196
"nut_price","nut_price",51626.6933218196,2.48051621823529,51629.1738380378
"harvest_nets_1","harvest_nets_1",51661.266497794,0,51661.266497794
"harvest_nets_2","harvest_nets_2",51647.7819001593,0,51647.7819001593
"tree_planting_hours_1","tree_planting_hours_1",51633.0962676429,0,51633.0962676429
"tree_planting_hours_2","tree_planting_hours_2",51660.5299041013,0,51660.5299041013
"tree_planting_costs_1","tree_planting_costs_1",51654.1132009102,0,51654.1132009102
"tree_planting_costs_2","tree_planting_costs_2",51659.2500976088,0,51659.2500976088
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",51646.4163102318,0,51646.4163102318
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",51632.7612524308,0,51632.7612524308
"maintaining_trees_h_1","maintaining_trees_h_1",51634.9434076908,0,51634.9434076908
"maintaining_trees_h_2","maintaining_trees_h_2",51588.6897289214,0,51588.6897289214
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",51586.669257126,0,51586.669257126
"mulch_h_2","mulch_h_2",51603.8797589957,0,51603.8797589957
"other_nut_h_1","other_nut_h_1",51432.0735753446,0,51432.0735753446
"other_nut_h_2","other_nut_h_2",51668.5659775496,0,51668.5659775496
"nut_harvest_hours_1","nut_harvest_hours_1",51640.5337706571,0,51640.5337706571
"nut_harvest_hours_2","nut_harvest_hours_2",51602.2870896778,0,51602.2870896778
"nut_yield_1","nut_yield_1",51621.4935205342,0,51621.4935205342
"nut_yield_2","nut_yield_2",51582.8939649513,6.89261207877676,51589.7865770301
"nut_var_costs_1","nut_var_costs_1",51605.0953151404,0,51605.0953151404
"nut_var_costs_2","nut_var_costs_2",51618.2077390732,0,51618.2077390732
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",51656.2680112315,0,51656.2680112315
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",51619.6094661154,0,51619.6094661154
"installation_irrigation_1","installation_irrigation_1",51726.3005457705,0,51726.3005457705
"installation_irrigation_2","installation_irrigation_2",51687.2581511029,0,51687.2581511029
"work_per_irrigation","work_per_irrigation",51625.0374705681,0,51625.0374705681
"maintaining_irrigation_1","maintaining_irrigation_1",51654.6705376811,0,51654.6705376811
"maintaining_irrigation_2","maintaining_irrigation_2",51614.8095718604,0,51614.8095718604
"water_per_day_1","water_per_day_1",51582.6575901882,0,51582.6575901882
"water_per_day_2","water_per_day_2",51650.482731485,0,51650.482731485
"tree_planting_hours_3","tree_planting_hours_3",51626.7241278483,0,51626.7241278483
"tree_planting_costs_3","tree_planting_costs_3",51710.0956963873,0,51710.0956963873
"maintaining_trees_h_3","maintaining_trees_h_3",51627.529185129,0,51627.529185129
"mulch_h_3","mulch_h_3",51675.2759355343,0,51675.2759355343
"tree_var_costs","tree_var_costs",51657.1035700607,0,51657.1035700607
"truffle_yield","truffle_yield",51270.1795455549,0,51270.1795455549
"truffle_price","truffle_price",51580.4321443396,0,51580.4321443396
"truffle_harvest_costs","truffle_harvest_costs",51688.8104881255,0,51688.8104881255
