"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",23381.4872719202,0,23381.4872719202
"grass_planting_cost","grass_planting_cost",23204.6623416284,0,23204.6623416284
"initial_fences_cost","initial_fences_cost",23323.2006655878,0,23323.2006655878
"maintaining_fences_cost","maintaining_fences_cost",23352.6732801234,0,23352.6732801234
"replacing_trees_cost","replacing_trees_cost",23415.8745756457,0,23415.8745756457
"nut_price","nut_price",23265.0388425968,0,23265.0388425968
"harvest_nets_1","harvest_nets_1",23355.5276071188,0,23355.5276071188
"harvest_nets_2","harvest_nets_2",23489.2490677973,0,23489.2490677973
"soil_analysis","soil_analysis",23252.7275209491,0,23252.7275209491
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",23395.9037123981,0,23395.9037123981
"amount_bales_1","amount_bales_1",23240.7224875698,0,23240.7224875698
"income_bale_1","income_bale_1",23302.5774589892,0,23302.5774589892
"tree_planting_hours_1","tree_planting_hours_1",23259.1710476638,0,23259.1710476638
"tree_planting_hours_2","tree_planting_hours_2",23337.4899212207,0,23337.4899212207
"tree_planting_costs_1","tree_planting_costs_1",23434.5077109803,0,23434.5077109803
"tree_planting_costs_2","tree_planting_costs_2",23538.5434948043,0,23538.5434948043
"maintaining_trees_h_1","maintaining_trees_h_1",23208.8369871666,0,23208.8369871666
"maintaining_trees_h_2","maintaining_trees_h_2",23405.613726618,0,23405.613726618
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",23293.3722287466,0,23293.3722287466
"mulch_h_2","mulch_h_2",23365.5720713304,0,23365.5720713304
"other_nut_h_1","other_nut_h_1",23324.649882678,0,23324.649882678
"other_nut_h_2","other_nut_h_2",23416.2948506174,0,23416.2948506174
"nut_harvest_hours_1","nut_harvest_hours_1",23230.0054722002,0,23230.0054722002
"nut_harvest_hours_2","nut_harvest_hours_2",23312.0617378684,0,23312.0617378684
"nut_yield_1","nut_yield_1",23258.5636803572,0,23258.5636803572
"nut_yield_2","nut_yield_2",23222.6163616615,100.910010862124,23323.5263725237
"nut_var_costs_1","nut_var_costs_1",23426.5185089592,0,23426.5185089592
"nut_var_costs_2","nut_var_costs_2",23388.1301823032,0,23388.1301823032
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",23332.6925812297,0,23332.6925812297
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",23245.946518214,0,23245.946518214
"installation_irrigation_1","installation_irrigation_1",23482.7901669773,0,23482.7901669773
"installation_irrigation_2","installation_irrigation_2",23433.2894948331,0,23433.2894948331
"work_per_irrigation","work_per_irrigation",23275.2606647334,0,23275.2606647334
"maintaining_irrigation_1","maintaining_irrigation_1",23419.8428515802,0,23419.8428515802
"maintaining_irrigation_2","maintaining_irrigation_2",23346.5092114257,0,23346.5092114257
"water_per_day_1","water_per_day_1",23443.1953607179,0,23443.1953607179
"water_per_day_2","water_per_day_2",23238.5103485763,0,23238.5103485763
"tree_planting_hours_3","tree_planting_hours_3",23414.0342613381,0,23414.0342613381
"tree_planting_costs_3","tree_planting_costs_3",23293.9561315671,0,23293.9561315671
"maintaining_trees_h_3","maintaining_trees_h_3",23341.2921961514,0,23341.2921961514
"mulch_h_3","mulch_h_3",23335.8309728609,0,23335.8309728609
"tree_var_costs","tree_var_costs",23371.2830566233,0,23371.2830566233
"truffle_yield","truffle_yield",23063.6181413802,0,23063.6181413802
"truffle_price","truffle_price",23336.6017108385,0,23336.6017108385
"truffle_harvest_costs","truffle_harvest_costs",23347.959883128,0,23347.959883128
"number_of_chicken","number_of_chicken",23403.1882886652,0,23403.1882886652
"chicken_replacement_cost","chicken_replacement_cost",23488.0720724974,0,23488.0720724974
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",23348.1844936147,0,23348.1844936147
"maintaining_chicken_mobile","maintaining_chicken_mobile",23253.4863291727,0,23253.4863291727
"chicken_feed","chicken_feed",23315.720228263,0,23315.720228263
"feed_cost","feed_cost",23277.0646461445,0,23277.0646461445
"working_hours_chicken","working_hours_chicken",23315.1362833674,0,23315.1362833674
"eggs","eggs",23566.7268000608,0,23566.7268000608
"eggs_price","eggs_price",23125.0661482984,0,23125.0661482984
